DriverNumber,Driver,TeamName,Position,Points,Year,GrandPrix,Round,QualPosition,Driver_AvgFinish_Season,Team_AvgPoints_Season,PrevRaceFinish,Form_Last3,AvgFinish_AtGP_PastYears,AvgQual_AtGP_PastYears,norm_Form_Last3,norm_AvgFinishAtGP,norm_AvgQualAtGP,Drivers_Confidence,DriverID,TeamID,GP_ID
1,VER,Red Bull Racing,2,18,2020,Spanish Grand Prix,6,1,3.7058823529411766,12.323529411764707,1.0,1.3333333333333333,,,0.9824561403508771,1.0,1.0,0.9929824561403509,22,8,26
16,LEC,Ferrari,3,15,2020,Spanish Grand Prix,6,2,5.0588235294117645,11.735294117647058,4.0,3.6666666666666665,,,0.8596491228070176,1.0,1.0,0.9438596491228071,10,2,26
11,PER,Red Bull Racing,4,12,2020,Spanish Grand Prix,6,4,8.176470588235293,12.323529411764707,3.0,3.0,,,0.8947368421052632,1.0,1.0,0.9578947368421054,14,8,26
55,SAI,Ferrari,5,10,2020,Spanish Grand Prix,6,3,5.875,11.735294117647058,5.0,4.333333333333333,,,0.8245614035087719,1.0,1.0,0.9298245614035088,18,2,26
44,HAM,Mercedes,6,8,2020,Spanish Grand Prix,6,8,6.411764705882353,8.617647058823529,9.0,8.0,,,0.631578947368421,1.0,1.0,0.8526315789473684,7,6,26
22,TSU,RB,7,6,2020,Spanish Grand Prix,6,10,13.470588235294118,0.8235294117647058,19.0,12.0,,,0.42105263157894735,1.0,1.0,0.7684210526315789,21,7,26
63,RUS,Mercedes,8,4,2020,Spanish Grand Prix,6,7,7.823529411764706,8.617647058823529,6.0,7.0,,,0.6842105263157895,1.0,1.0,0.8736842105263158,17,6,26
14,ALO,Aston Martin,9,2,2020,Spanish Grand Prix,6,15,9.647058823529411,2.411764705882353,7.0,7.333333333333333,,,0.6666666666666667,1.0,1.0,0.8666666666666667,1,1,26
31,OCO,Alpine,10,1,2020,Spanish Grand Prix,6,13,13.647058823529411,0.38235294117647056,11.0,12.0,,,0.42105263157894735,1.0,1.0,0.7684210526315789,13,0,26
27,HUL,Haas F1 Team,11,0,2020,Spanish Grand Prix,6,9,11.823529411764707,0.7941176470588235,10.0,10.666666666666666,,,0.49122807017543857,1.0,1.0,0.7964912280701755,8,3,26
10,GAS,Alpine,12,0,2020,Spanish Grand Prix,6,12,13.823529411764707,0.38235294117647056,13.0,13.666666666666666,,,0.3333333333333335,1.0,1.0,0.7333333333333334,6,0,26
81,PIA,McLaren,13,0,2020,Spanish Grand Prix,6,6,4.647058823529412,13.382352941176471,8.0,9.666666666666666,,,0.5438596491228072,1.0,1.0,0.8175438596491229,15,5,26
24,ZHO,Kick Sauber,14,0,2020,Spanish Grand Prix,6,20,16.11764705882353,0.0,14.0,15.333333333333334,,,0.2456140350877194,1.0,1.0,0.6982456140350877,23,4,26
3,RIC,RB,15,0,2020,Spanish Grand Prix,6,18,13.117647058823529,0.8235294117647058,18.0,17.333333333333332,,,0.14035087719298267,1.0,1.0,0.656140350877193,16,7,26
77,BOT,Kick Sauber,16,0,2020,Spanish Grand Prix,6,16,16.058823529411764,0.0,20.0,16.666666666666668,,,0.17543859649122795,1.0,1.0,0.6701754385964911,3,4,26
18,STR,Aston Martin,17,0,2020,Spanish Grand Prix,6,11,12.647058823529411,2.411764705882353,15.0,14.666666666666666,,,0.2807017543859649,1.0,1.0,0.712280701754386,20,1,26
23,ALB,Williams,18,0,2020,Spanish Grand Prix,6,14,13.588235294117647,0.48484848484848486,12.0,16.666666666666668,,,0.17543859649122795,1.0,1.0,0.6701754385964911,0,9,26
20,MAG,Haas F1 Team,19,0,2020,Spanish Grand Prix,6,19,13.75,0.7941176470588235,16.0,16.0,,,0.21052631578947367,1.0,1.0,0.6842105263157894,11,3,26
2,SAR,Williams,20,0,2020,Spanish Grand Prix,6,17,17.142857142857142,0.48484848484848486,17.0,18.0,,,0.10526315789473695,1.0,1.0,0.6421052631578947,19,9,26
1,VER,Red Bull Racing,1,25,2020,Belgian Grand Prix,7,1,3.7058823529411766,12.323529411764707,2.0,1.3333333333333333,,,0.9824561403508771,1.0,1.0,0.9929824561403509,22,8,6
4,NOR,McLaren,2,18,2020,Belgian Grand Prix,7,3,4.294117647058823,13.382352941176471,1.0,1.6666666666666667,,,0.9649122807017544,1.0,1.0,0.9859649122807017,12,5,6
16,LEC,Ferrari,3,15,2020,Belgian Grand Prix,7,4,5.0588235294117645,11.735294117647058,3.0,3.3333333333333335,,,0.8771929824561404,1.0,1.0,0.9508771929824562,10,2,6
81,PIA,McLaren,4,12,2020,Belgian Grand Prix,7,2,4.647058823529412,13.382352941176471,13.0,8.333333333333334,,,0.6140350877192982,1.0,1.0,0.8456140350877193,15,5,6
55,SAI,Ferrari,5,10,2020,Belgian Grand Prix,7,5,5.875,11.735294117647058,5.0,5.0,,,0.7894736842105263,1.0,1.0,0.9157894736842105,18,2,6
44,HAM,Mercedes,6,8,2020,Belgian Grand Prix,7,8,6.411764705882353,8.617647058823529,6.0,7.0,,,0.6842105263157895,1.0,1.0,0.8736842105263158,7,6,6
63,RUS,Mercedes,7,7,2020,Belgian Grand Prix,7,6,7.823529411764706,8.617647058823529,8.0,7.0,,,0.6842105263157895,1.0,1.0,0.8736842105263158,17,6,6
11,PER,Red Bull Racing,8,4,2020,Belgian Grand Prix,7,11,8.176470588235293,12.323529411764707,4.0,5.0,,,0.7894736842105263,1.0,1.0,0.9157894736842105,14,8,6
18,STR,Aston Martin,9,2,2020,Belgian Grand Prix,7,13,12.647058823529411,2.411764705882353,17.0,13.666666666666666,,,0.3333333333333335,1.0,1.0,0.7333333333333334,20,1,6
22,TSU,RB,10,1,2020,Belgian Grand Prix,7,7,13.470588235294118,0.8235294117647058,7.0,12.0,,,0.42105263157894735,1.0,1.0,0.7684210526315789,21,7,6
27,HUL,Haas F1 Team,11,0,2020,Belgian Grand Prix,7,10,11.823529411764707,0.7941176470588235,11.0,10.666666666666666,,,0.49122807017543857,1.0,1.0,0.7964912280701755,8,3,6
20,MAG,Haas F1 Team,12,0,2020,Belgian Grand Prix,7,18,13.75,0.7941176470588235,19.0,15.666666666666666,,,0.22807017543859653,1.0,1.0,0.6912280701754385,11,3,6
3,RIC,RB,13,0,2020,Belgian Grand Prix,7,9,13.117647058823529,0.8235294117647058,15.0,15.333333333333334,,,0.2456140350877194,1.0,1.0,0.6982456140350877,16,7,6
31,OCO,Alpine,14,0,2020,Belgian Grand Prix,7,12,13.647058823529411,0.38235294117647056,10.0,11.666666666666666,,,0.4385964912280702,1.0,1.0,0.775438596491228,13,0,6
24,ZHO,Kick Sauber,15,0,2020,Belgian Grand Prix,7,17,16.11764705882353,0.0,14.0,14.333333333333334,,,0.29824561403508776,1.0,1.0,0.7192982456140351,23,4,6
10,GAS,Alpine,16,0,2020,Belgian Grand Prix,7,15,13.823529411764707,0.38235294117647056,12.0,13.666666666666666,,,0.3333333333333335,1.0,1.0,0.7333333333333334,6,0,6
2,SAR,Williams,17,0,2020,Belgian Grand Prix,7,20,17.142857142857142,0.48484848484848486,20.0,18.0,,,0.10526315789473695,1.0,1.0,0.6421052631578947,19,9,6
77,BOT,Kick Sauber,18,0,2020,Belgian Grand Prix,7,16,16.058823529411764,0.0,16.0,18.0,,,0.10526315789473695,1.0,1.0,0.6421052631578947,3,4,6
14,ALO,Aston Martin,19,0,2020,Belgian Grand Prix,7,19,9.647058823529411,2.411764705882353,9.0,11.666666666666666,,,0.4385964912280702,1.0,1.0,0.775438596491228,1,1,6
23,ALB,Williams,20,0,2020,Belgian Grand Prix,7,14,13.588235294117647,0.48484848484848486,18.0,16.666666666666668,,,0.17543859649122795,1.0,1.0,0.6701754385964911,0,9,6
16,LEC,Ferrari,1,25,2020,Italian Grand Prix,8,1,5.0588235294117645,11.735294117647058,3.0,2.3333333333333335,,,0.9298245614035088,1.0,1.0,0.9719298245614036,10,2,14
