DriverNumber,Abbreviation,TeamName,Position,Points,Year,GrandPrix,Winner,Second,Third,DriverID,TeamID,GP_ID,AvgFinish_Season,TeamAvgPoints_Season,PrevRaceFinish
23,ALB,Williams,20,0.0,2020,Belgian Grand Prix,0,0,0,0,9,6,15.285714285714286,0.0,18.0
16,LEC,Ferrari,1,25.0,2020,Italian Grand Prix,1,0,0,10,2,14,3.0,14.466666666666667,3.0
81,PIA,McLaren,2,18.0,2020,Italian Grand Prix,0,1,0,15,5,14,6.375,10.933333333333334,4.0
55,SAI,Ferrari,3,15.0,2020,Italian Grand Prix,0,0,1,18,2,14,3.5714285714285716,14.5,5.0
4,NOR,McLaren,4,12.0,2020,Italian Grand Prix,0,0,0,12,5,14,3.875,11.0,2.0
63,RUS,Mercedes,5,10.0,2020,Italian Grand Prix,0,0,0,17,6,14,7.625,5.4,7.0
1,VER,Red Bull Racing,6,8.0,2020,Italian Grand Prix,0,0,0,22,8,14,4.0,16.533333333333335,1.0
44,HAM,Mercedes,7,7.0,2020,Italian Grand Prix,0,0,0,7,6,14,8.875,5.5,6.0
22,TSU,RB,8,4.0,2020,Italian Grand Prix,0,0,0,21,7,14,11.25,1.2,10.0
23,ALB,Williams,9,2.0,2020,Italian Grand Prix,0,0,0,0,9,14,14.5,0.14285714285714285,20.0
10,GAS,Alpine,10,1.0,2020,Italian Grand Prix,0,0,0,6,0,14,14.75,0.13333333333333333,16.0
14,ALO,Aston Martin,11,0.0,2020,Italian Grand Prix,0,0,0,1,1,14,9.25,2.933333333333333,19.0
3,RIC,RB,12,0.0,2020,Italian Grand Prix,0,0,0,16,7,14,14.75,1.125,13.0
77,BOT,Kick Sauber,13,0.0,2020,Italian Grand Prix,0,0,0,3,4,14,16.375,0.0,18.0
18,STR,Aston Martin,14,0.0,2020,Italian Grand Prix,0,0,0,20,1,14,12.75,2.75,9.0
2,SAR,Williams,15,0.0,2020,Italian Grand Prix,0,0,0,19,9,14,17.142857142857142,0.13333333333333333,17.0
24,ZHO,Kick Sauber,16,0.0,2020,Italian Grand Prix,0,0,0,23,4,14,15.125,0.0,15.0
31,OCO,Alpine,17,0.0,2020,Italian Grand Prix,0,0,0,13,0,14,14.125,0.125,14.0
11,PER,Red Bull Racing,18,0.0,2020,Italian Grand Prix,0,0,0,14,8,14,5.5,15.5,8.0
27,HUL,Haas F1 Team,19,0.0,2020,Italian Grand Prix,0,0,0,8,3,14,12.125,0.3333333333333333,11.0
20,MAG,Haas F1 Team,20,0.0,2020,Italian Grand Prix,0,0,0,11,3,14,14.25,0.3125,12.0
1,VER,Red Bull Racing,1,25.0,2020,Tuscan Grand Prix,1,0,0,22,8,29,3.6666666666666665,16.058823529411764,6.0
4,NOR,McLaren,2,18.0,2020,Tuscan Grand Prix,0,1,0,12,5,29,3.6666666666666665,11.411764705882353,4.0
63,RUS,Mercedes,3,15.0,2020,Tuscan Grand Prix,0,0,1,17,6,29,7.111111111111111,6.0588235294117645,5.0
44,HAM,Mercedes,4,13.0,2020,Tuscan Grand Prix,0,0,0,7,6,29,8.333333333333334,6.444444444444445,7.0
81,PIA,McLaren,5,10.0,2020,Tuscan Grand Prix,0,0,0,15,5,29,6.222222222222222,11.333333333333334,2.0
14,ALO,Aston Martin,6,8.0,2020,Tuscan Grand Prix,0,0,0,1,1,29,8.88888888888889,3.0588235294117645,11.0
18,STR,Aston Martin,7,6.0,2020,Tuscan Grand Prix,0,0,0,20,1,29,12.11111111111111,3.2222222222222223,14.0
3,RIC,RB,8,4.0,2020,Tuscan Grand Prix,0,0,0,16,7,29,14.0,1.2941176470588236,12.0
10,GAS,Alpine,9,2.0,2020,Tuscan Grand Prix,0,0,0,6,0,29,14.11111111111111,0.23529411764705882,10.0
31,OCO,Alpine,10,1.0,2020,Tuscan Grand Prix,0,0,0,13,0,29,13.666666666666666,0.2777777777777778,17.0
27,HUL,Haas F1 Team,11,0.0,2020,Tuscan Grand Prix,0,0,0,8,3,29,12.0,0.29411764705882354,19.0
20,MAG,Haas F1 Team,12,0.0,2020,Tuscan Grand Prix,0,0,0,11,3,29,14.0,0.2777777777777778,20.0
77,BOT,Kick Sauber,13,0.0,2020,Tuscan Grand Prix,0,0,0,3,4,29,16.0,0.0,13.0
22,TSU,RB,14,0.0,2020,Tuscan Grand Prix,0,0,0,21,7,29,11.555555555555555,1.2222222222222223,8.0
24,ZHO,Kick Sauber,15,0.0,2020,Tuscan Grand Prix,0,0,0,23,4,29,15.11111111111111,0.0,16.0
55,SAI,Ferrari,16,0.0,2020,Tuscan Grand Prix,0,0,0,18,2,29,5.125,13.647058823529411,3.0
23,ALB,Williams,17,0.0,2020,Tuscan Grand Prix,0,0,0,0,9,29,14.777777777777779,0.125,9.0
11,PER,Red Bull Racing,18,0.0,2020,Tuscan Grand Prix,0,0,0,14,8,29,6.888888888888889,15.166666666666666,18.0
16,LEC,Ferrari,19,0.0,2020,Tuscan Grand Prix,0,0,0,10,2,29,4.777777777777778,12.88888888888889,1.0
2,SAR,Williams,20,0.0,2020,Tuscan Grand Prix,0,0,0,19,9,29,17.5,0.11764705882352941,15.0
1,VER,Red Bull Racing,1,25.0,2020,Russian Grand Prix,1,0,0,22,8,22,3.4,15.68421052631579,1.0
4,NOR,McLaren,2,19.0,2020,Russian Grand Prix,0,1,0,12,5,22,3.5,11.736842105263158,2.0
44,HAM,Mercedes,3,15.0,2020,Russian Grand Prix,0,0,1,7,6,22,7.8,6.894736842105263,4.0
63,RUS,Mercedes,4,12.0,2020,Russian Grand Prix,0,0,0,17,6,22,6.8,7.15,3.0
16,LEC,Ferrari,5,10.0,2020,Russian Grand Prix,0,0,0,10,2,22,4.8,12.736842105263158,19.0
55,SAI,Ferrari,6,8.0,2020,Russian Grand Prix,0,0,0,18,2,22,5.222222222222222,12.5,16.0
81,PIA,McLaren,7,6.0,2020,Russian Grand Prix,0,0,0,15,5,22,6.3,11.45,5.0
11,PER,Red Bull Racing,8,4.0,2020,Russian Grand Prix,0,0,0,14,8,22,7.0,15.1,18.0
10,GAS,Alpine,9,2.0,2020,Russian Grand Prix,0,0,0,6,0,22,13.6,0.3684210526315789,9.0
31,OCO,Alpine,10,1.0,2020,Russian Grand Prix,0,0,0,13,0,22,13.3,0.4,10.0
27,HUL,Haas F1 Team,11,0.0,2020,Russian Grand Prix,0,0,0,8,3,22,11.9,0.2631578947368421,11.0
14,ALO,Aston Martin,12,0.0,2020,Russian Grand Prix,0,0,0,1,1,22,9.2,3.0526315789473686,6.0
24,ZHO,Kick Sauber,13,0.0,2020,Russian Grand Prix,0,0,0,23,4,22,14.9,0.0,15.0
18,STR,Aston Martin,14,0.0,2020,Russian Grand Prix,0,0,0,20,1,22,12.3,2.9,7.0
3,RIC,RB,15,0.0,2020,Russian Grand Prix,0,0,0,16,7,22,14.1,1.1578947368421053,8.0
77,BOT,Kick Sauber,16,0.0,2020,Russian Grand Prix,0,0,0,3,4,22,16.0,0.0,13.0
20,MAG,Haas F1 Team,17,0.0,2020,Russian Grand Prix,0,0,0,11,3,22,14.3,0.25,12.0
23,ALB,Williams,18,0.0,2020,Russian Grand Prix,0,0,0,0,9,22,15.1,0.1111111111111111,17.0
22,TSU,RB,19,0.0,2020,Russian Grand Prix,0,0,0,21,7,22,12.3,1.1,14.0
2,SAR,Williams,20,0.0,2020,Russian Grand Prix,0,0,0,19,9,22,17.77777777777778,0.10526315789473684,20.0
63,RUS,Mercedes,1,25.0,2020,Eifel Grand Prix,1,0,0,17,6,10,6.2727272727272725,8.0,4.0
81,PIA,McLaren,2,18.0,2020,Eifel Grand Prix,0,1,0,15,5,10,5.909090909090909,11.761904761904763,7.0
